timestamp_ms,s_rtt_ms,base_rtt_ms,qdelay_ms,qdelay_avg_ms,bitrate_kbps,cwnd_bytes,bytes_in_flight,max_bytes_in_flight,packet_loss
1751555798535,0,10000,0,0,500,2000,0,0,0
1751555798546,77,69,12,11,500,3371.725,2720,2752,0
1751555798561,89,69,60,21,500,3371.725,2720,2752,0
1751555798574,0,10000,0,0,500,2000,0,0,0
1751555798610,85,69,0,18,500,4635.2153,2752,2752,0
1751555798614,0,10000,0,0,500,2000,0,0,0
1751555798625,85,69,0,18,500,4635.2153,4096,4096,0
1751555798643,85,69,19,18,500,4635.2153,4096,4096,0
1751555798654,0,10000,0,0,500,2000,0,0,0
1751555798700,0,10000,0,0,500,2000,0,0,0
1751555798701,74,69,0,13,500,4635.2153,2720,2720,0
1751555798701,74,69,0,13,500,4635.2153,4096,4096,0
1751555798728,74,69,0,13,500,4635.2153,4096,4096,0
1751555798736,0,10000,0,0,500,2000,0,0,0
1751555798762,67,69,0,10,548.79376,4635.2153,2720,4096,0
1751555798767,67,69,0,10,548.79376,4635.2153,4096,4096,0
1751555798782,0,10000,0,0,500,2000,0,0,0
1751555798804,63,69,0,9,742.4126,5925.183,4096,4096,0
1751555798817,0,10000,0,0,500,2000,0,0,0
1751555798828,63,69,0,7,744.0026,5925.183,5472,5472,0
1751555798842,63,69,0,7,744.0026,5925.183,5472,5472,0
1751555798854,0,10000,0,0,500,2000,0,0,0
1751555798885,63,69,0,7,771.47864,6144,5472,5472,0
1751555798886,63,69,0,6,768.96454,6144,5472,5472,0
1751555798904,0,10000,0,0,500,2000,0,0,0
1751555798923,63,69,0,6,768.96454,6144,5440,5472,0
1751555798951,0,10000,0,0,500,2000,0,0,0
1751555798952,67,69,25,8,725.3514,6144,5440,5472,0
1751555798962,70,69,6,7,897.7456,7892.652,5440,5440,0
1751555798989,0,10000,0,0,500,2000,0,0,0
1751555798996,70,69,6,7,897.7456,7892.652,6816,6816,0
1751555799003,70,69,6,7,897.7456,7892.652,6816,6816,0
1751555799016,0,10000,0,0,500,2000,0,0,0
1751555799036,74,69,12,9,848.8022,7892.652,6848,6848,0
1751555799046,74,69,12,9,882.7158,8208,6848,6848,0
1751555799053,0,10000,0,0,500,2000,0,0,0
1751555799073,64,69,0,5,1013.9056,8208,6816,6848,0
1751555799095,0,10000,0,0,500,2000,0,0,0
1751555799095,64,69,0,5,1013.9056,8208,6816,6848,0
1751555799111,64,69,0,5,1146.348,9179.268,6816,6816,0
1751555799139,0,10000,0,0,500,2000,0,0,0
1751555799139,64,69,0,5,1146.348,9179.268,8192,8192,0
1751555799152,65,69,0,3,1122.032,9179.268,8192,8192,0
1751555799172,65,69,0,3,1122.032,9179.268,8192,8192,0
1751555799173,0,10000,0,0,500,2000,0,0,0
1751555799182,65,69,0,3,1207.7727,9880.707,8192,8192,0
1751555799221,0,10000,0,0,500,2000,0,0,0
1751555799221,65,69,0,3,1209.6447,9880.707,9536,9536,0
1751555799234,65,69,0,3,1209.6447,9880.707,9568,9568,0
1751555799243,70,69,17,6,1120.5392,9880.707,9568,9568,0
1751555799255,0,10000,0,0,500,2000,0,0,0
1751555799295,0,10000,0,0,500,2000,0,0,0
1751555799296,70,69,17,6,1195.7557,10543.953,9568,9568,0
1751555799296,93,69,44,24,899.3166,10543.953,9536,9568,0
1751555799323,93,69,44,24,899.3166,10543.953,9536,9568,0
1751555799333,0,10000,0,0,500,2000,0,0,0
1751555799339,93,69,44,24,899.3166,10543.953,9536,9568,0
1751555799372,93,69,44,24,500,3616.576,5440,9568,1
